Team,Conformed
UAFS LIONS QUIDDITCH,298
UMASS,148
UNIVERSITY AT BUFFALO DRAGONS,284
UNIVERSITY OF ARIZONA,7
UNIVERSITY OF ARIZONA QUIDDITCH,7
UNIVERSITY OF ARKANSAS,10
UNIVERSITY OF ARKANSAS FORT SMITH,298
UNIVERSITY OF ARKANSAS QUIDDITCH CLUB,10
UNIVERSITY OF ARKANSAS RAZORBACK QUIDDITCH,10
UNIVERSITY OF BRITISH COLUMBIA,38
UNIVERSITY OF BRITISH COLUMBIA QUIDDITCH,38
UNIVERSITY OF CALIFORNIA BERKELEY,42
UNIVERSITY OF CALIFORNIA LOS ANGELES,301
UNIVERSITY OF CALIFORNIA RIVERSIDE,300
UNIVERSITY OF CENTRAL FLORIDA,39
UNIVERSITY OF COLORADO BOULDER BASILISKS,62
UNIVERSITY OF DAYTON QUIDDITCH,71
UNIVERSITY OF DAYTON QUIDDITCH CLUB,71
UNIVERSITY OF FLORIDA,85
UNIVERSITY OF FLORIDA QUIDDITCH,85
UNIVERSITY OF FLORIDA QUIDDITCH CLUB,85
UNIVERSITY OF INCARNATE WORD,285
UNIVERSITY OF KANSAS,122
UNIVERSITY OF LOYOLA NEW ORLEANS,140
UNIVERSITY OF MARY WASHINGTON QUIDDITCH,145
UNIVERSITY OF MARYLAND,146
UNIVERSITY OF MASSACHUSETTS,148
UNIVERSITY OF MASSACHUSETTS AMHERST,148
UNIVERSITY OF MASSACHUSETTS AMHERST CRABS,148
UNIVERSITY OF MASSACHUSETTS AMHERST SILLYNANNIES,148
UNIVERSITY OF MASSACHUSETTS LOWELL RIVERHAWKS,307
UNIVERSITY OF MIAMI,288
UNIVERSITY OF MIAMI (FL),288
UNIVERSITY OF MICHIGAN,153
UNIVERSITY OF MINNESOTA,158
UNIVERSITY OF MISSOURI,161
UNIVERSITY OF NEW CASTLE,172
UNIVERSITY OF NEW HAVEN,173
UNIVERSITY OF NEW ORLEANS,290
UNIVERSITY OF NEW SOUTH WALES,303
UNIVERSITY OF NEWCASTLE,291
UNIVERSITY OF NORTH CAROLINA,164
UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,302
UNIVERSITY OF NORTH CAROLINA GREENSBORO,302
UNIVERSITY OF NORTH CAROLINA-GREENSBORO,302
UNIVERSITY OF NORTH COLORADO,165
UNIVERSITY OF NORTH TEXAS,167
UNIVERSITY OF NORTH TEXAS QUIDDITCH,167
UNIVERSITY OF NORTHERN ARIZONA,163
UNIVERSITY OF NORTHERN COLORAD,165
UNIVERSITY OF NORTHERN COLORADO,165
UNIVERSITY OF OKLAHOMA,184
UNIVERSITY OF PENNSYLVANIA,194
UNIVERSITY OF PITTSBURGH,293
UNIVERSITY OF RHODE ISLAND,216
UNIVERSITY OF RICHMOND,218
UNIVERSITY OF RICHMOND SPIDERS,218
UNIVERSITY OF ROCHESTER,222
UNIVERSITY OF ROCHESTER THESTRALS,222
UNIVERSITY OF SOUTH ALABAMA,229
UNIVERSITY OF SOUTH CAROLINA,253
UNIVERSITY OF SOUTH FLORIDA,230
UNIVERSITY OF SOUTH FLORIDA QUIDDITCH,230
UNIVERSITY OF SOUTHERN ALABAMA,229
UNIVERSITY OF SOUTHERN CALIFORNIA,304
UNIVERSITY OF SOUTHERN INDIANA,232
UNIVERSITY OF SOUTHERN INDIANA QUIDDITCH,232
UNIVERSITY OF SOUTHERN MISSISSIPPI,233
UNIVERSITY OF SYDNEY,295
UNIVERSITY OF SYDNEY UNSPEAKABLES,295
UNIVERSITY OF TEXAS,269
UNIVERSITY OF TEXAS AT SAN ANTONIO,305
UNIVERSITY OF TEXAS AT SAN ANTONIO CLUB QUIDDITCH,305
UNIVERSITY OF TEXAS AT SAN ANTONIO Q.C,305
UNIVERSITY OF TEXAS SAN ANTONIO,305
UNIVERSITY OF TOLEDO,277
UNIVERSITY OF TOLEDO QUIDDITCH,277
UNIVERSITY OF TORONTO QUIDDITCH (ST. GEORGE CAMPUS),296
UNIVERSITY OF TORONTO SCARBOROUGH,297
UNIVERSITY OF VERMONT,315
UNIVERSITY OF VERMONT QUIDDITCH,315
UNIVERSITY OF VIRGINA,318
UNIVERSITY OF VIRGINIA,318
UNIVERSITY OF WESTERN SYDNEY,321
UNIVERSITY OFåÊ TEXAS,269
USM QUIDDITCH,233
UTAH CRIMSON FLIERS,309
UTAH RAPTORS QUIDDITCH,308
UTAH STATE QUIDDITCH CLUB,310
UTSA,305
UTSA CLUB QUIDDITCH,305
UTSC PHOENIX,306
VALHALLA,312
VALKYRIES,313
VASSAR COLLEGE,314
VICTORIA SPARTANS,316
VILLANOVA COMMUNITY QUIDDITCH,317
VILLANOVA QUIDDITCH,317
VILLANOVA UNIVERSITY,317
VIRGINIA COMMONWEALTH UNIVERSITY,311
VIRGINIA QUIDDITCH CLUB,318
VIRGINIA TECH,319
VIRGINIA TECH PHOENIXES,319
WATERLOO RIDGEBACKS,326
WEBSTER,327
WEBSTER UNIVERSITY,327
WEBSTER UNIVERSITY QUIDDITCH,327
WEQL,323
WEST TEXAS REBELS QUIDDITCH CLUB,328
WESTERN CONNECTICUT STATE UNIVERSITY,320
WESTERN WASHINGTON WYVERNS,322
WICHITA STATE UNIVERSITY,329
WILLIAM AND MARY UNIVERSITY,330
WILMINGTON WARHAWKS,331
WINTHROP UNIVERSITY QUIDDITCH TEAM,332
WISCONSIN QUIDDITCH,333
WIZARDS OF WESTWOOD,334
WIZENGAMOT QUIDDITCH AT VCU,311
WIZENGAMOT QUIDDITCH OF VCU,311
WOLLONGONG UNIVERSITY,335
WOOSTER,336
WOOSTER SCOTTISH NATIONAL,336
WOOSTER SCOTTISH NATIONALS,336
WVU SUMMIT,324
YORKU AURORS,337
